x_rep,y_rep,tweet_id,tweets_preprocessed,preProcessed,clusterd,Jackcluster,centroid,important
-0.16262549750163446,0.03216570377150855,'451280656090157056',keep chile friend thought prayer chile earthquake ,keep chile friend thought prayer chile earthquake ,1,0,chile coast earthquake northern,chile chile earthquake
-0.2933290445546104,-0.07785730446085666,'451281454429769728',resident flee magnitude earthquake strike northern chile ,resident flee magnitude earthquake strike northern chile ,3,0,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake northern chile
-0.013698442632155788,0.26942451160442177,'451281747703902208',thought prayforchile ,thought prayforchile ,4,-1,case coronavirus mers saudi virus,
-0.2640058415700586,-0.05576281605652,'451281792809439233',powerful magnitude earthquake chile kill least force evacuation ,powerful magnitude earthquake chile kill least force evacuation ,3,0,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake chile
-0.1946026532975906,0.0015204088411077798,'451281861029793792',pray chile tsunami ,pray chile tsunami ,2,2,chile coast earthquake magnitude northern quake tsunami,chile tsunami
-0.3344077221978625,-0.09619811762576724,'451281935130583040',tsunami triggering earthquake strike chile kill release ̴̻prisoners ,tsunami triggering earthquake strike chile kill release ̴̻prisoners ,2,1,chile coast earthquake magnitude northern quake tsunami,tsunami earthquake chile
-0.2686651536319726,0.13326277351408802,'451282059923693569',earthquake tsunami prayforchile ,earthquake tsunami prayforchile ,2,1,chile coast earthquake magnitude northern quake tsunami,earthquake tsunami
-0.013864382008572918,0.23604047337789527,'451282106111766529',prayforchile stay safe ,prayforchile stay safe ,4,-1,case coronavirus mers saudi virus,
-0.25157234334446665,-0.045332150705934486,'451283095946547200',chile earthquake deadly magnitude temblor rock coast ,chile earthquake deadly magnitude temblor rock coast ,3,0,chile coast earthquake magnitude northern quake tsunami,chile earthquake magnitude coast
-0.1636633417429921,0.17304690941533302,'451283243749224449',magnitude earthquake causing person death prayforchile ,magnitude earthquake causing person death prayforchile ,3,0,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake
-0.011086174156263381,0.2580188802390539,'451285334920142848',nasa chille papa hope alright prayforchile ,nasa chille papa hope alright prayforchile ,4,-1,case coronavirus mers saudi virus,
-0.006227544441160736,0.2660687397327618,'451285364548722688',prayforchile show time trend united kingdom ,prayforchile show time trend united kingdom ,4,-1,case coronavirus mers saudi virus,
-0.0010990146006053631,0.2296657322101595,'451285444009799681',filipino shall never forget help nation country time help also prayforchile ,filipino shall never forget help nation country time help also prayforchile ,4,-1,case coronavirus mers saudi virus,
-0.027920885786654984,0.2738098968663072,'451285505582575616',great thanks ericksonestorn prayforchile include prayer ,great thanks ericksonestorn prayforchile include prayer ,4,-1,case coronavirus mers saudi virus,
-0.027148002142722158,0.3495940632068536,'451285570400960512',prayforchile ,prayforchile ,4,-1,case coronavirus mers saudi virus,
-0.19881386599277598,-0.005183761958130613,'451285573605789697',since huge earthquake chile aftershock utterly impressed calmly people handling disaster ,since huge earthquake chile aftershock utterly impressed calmly people handling disaster ,1,1,chile coast earthquake northern,earthquake chile
-0.027148002142722158,0.3495940632068536,'451285590810435584',prayforchile ,prayforchile ,4,-1,case coronavirus mers saudi virus,
-0.027148002142722158,0.3495940632068536,'451285666350239744',prayforchile ,prayforchile ,4,-1,case coronavirus mers saudi virus,
-0.2543766763499626,-0.034973840017315044,'451285737904672768',strong earthquake occurred chile today meter tsunami going reach coast japan hour tsunami chile ,strong earthquake occurred chile today meter tsunami going reach coast japan hour tsunami chile ,2,1,chile coast earthquake magnitude northern quake tsunami,earthquake chile tsunami coast tsunami chile
-0.2910269899357126,0.06030843350040298,'451285847049256960',chile earthquake spark tsunami warning evacuation thousand prayforchile ,chile earthquake spark tsunami warning evacuation thousand prayforchile ,2,1,chile coast earthquake magnitude northern quake tsunami,chile earthquake tsunami
-0.1533214792811326,0.0440184425033677,'451285951176650752',president cautious quake kill chile ,president cautious quake kill chile ,3,3,chile coast earthquake magnitude northern quake tsunami,quake chile
-0.006973918002519709,0.23036685203474863,'451285984895070208',hope family safe thought family affected hurricane prayforchile ,hope family safe thought family affected hurricane prayforchile ,4,-1,case coronavirus mers saudi virus,
